fecha_venta;familia;cantidad;gramos
2022-04-07;VAINILLA;1;1450
2022-04-08;FRUTILLA;1;550
2022-04-08;MANGO;1;700
2022-04-12;MENTA;1;350
2022-04-13;CHOCOLATE;1;1450
2022-04-13;VAINILLA;1;1400
2022-04-14;MENTA;1;350
2022-04-19;MENTA;1;850
2022-04-21;CHOCOLATE;1;2500
2022-04-21;VAINILLA;1;500
2022-04-21;CHOCOLATE;1;1250
2022-04-21;MENTA;1;600
2022-04-22;CHOCOLATE;1;2100
2022-04-22;MENTA;1;500
2022-04-22;VAINILLA;1;1000
2022-04-22;MENTA;1;350
2022-04-25;CHOCOLATE;1;5250
2022-04-27;MENTA;1;350
2022-04-28;MENTA;1;550
2022-04-29;VAINILLA;1;1050
2022-05-03;MANGO;1;550
2022-05-04;VAINILLA;1;4600
2022-05-05;MANGO;1;1550
2022-05-05;MANGO;1;1000
2022-05-06;MANGO;1;1550
2022-05-06;CHOCOLATE;1;550
2022-05-07;CHOCOLATE;1;2500
2022-05-11;CHOCOLATE;1;750
2022-05-12;MANGO;1;500
2022-05-13;VAINILLA;1;900
2022-05-13;VAINILLA;1;1650
2022-05-14;FRUTILLA;1;1100
2022-05-14;CHOCOLATE;1;1350
2022-05-16;FRUTILLA;1;450
2022-05-16;VAINILLA;1;1100
2022-05-16;MENTA;1;500
2022-05-16;CHOCOLATE;1;1350
2022-05-16;MENTA;1;500
2022-05-16;MENTA;1;350
2022-05-17;VAINILLA;1;7150
2022-05-18;CHOCOLATE;1;6950
2022-05-19;MENTA;1;750
2022-05-19;MENTA;1;500
2022-05-20;VAINILLA;1;1900
2022-05-20;VAINILLA;1;2000
2022-05-20;MENTA;1;500
2022-05-23;FRUTILLA;1;650
2022-05-23;CHOCOLATE;1;1150
2022-05-24;VAINILLA;1;5350
2022-05-24;CHOCOLATE;1;1950
2022-05-24;MENTA;1;1150
2022-05-24;CHOCOLATE;1;750
2022-05-24;MENTA;1;1400
2022-05-25;FRUTILLA;1;300
2022-05-27;MENTA;1;500
2022-05-28;FRUTILLA;1;350
2022-05-28;CHOCOLATE;1;1700
2022-05-30;VAINILLA;1;1200
2022-05-31;MANGO;1;700
2022-05-31;VAINILLA;1;2700
2022-06-01;CHOCOLATE;1;1450
2022-06-03;VAINILLA;1;600
2022-06-04;CHOCOLATE;1;950
2022-06-04;CHOCOLATE;1;550
2022-06-06;FRUTILLA;1;1300
2022-06-07;MENTA;1;350
2022-06-07;VAINILLA;1;4000
2022-06-07;CHOCOLATE;1;2500
2022-06-07;FRUTILLA;1;1350
2022-06-08;MENTA;1;950
2022-06-09;CHOCOLATE;1;900
2022-06-09;FRUTILLA;1;1500
2022-06-09;VAINILLA;1;1100
2022-06-11;VAINILLA;1;1600
2022-06-11;FRUTILLA;1;1400
2022-06-14;MENTA;1;650
2022-06-15;MENTA;1;450
2022-06-16;MENTA;1;350
2022-06-16;CHOCOLATE;1;2350
2022-06-16;MENTA;1;1050
2022-06-18;MENTA;1;600
2022-06-18;VAINILLA;1;1550
2022-06-18;VAINILLA;1;1200
2022-06-20;FRUTILLA;1;300
2022-06-24;CHOCOLATE;1;1000
2022-06-24;FRUTILLA;1;700
2022-06-24;MENTA;1;650
2022-06-28;MENTA;1;1100
2022-06-28;MANGO;1;2150
2022-06-29;MENTA;1;950
2022-06-29;VAINILLA;1;850
2022-06-30;MANGO;1;6500
2022-06-30;VAINILLA;1;2350
2022-07-01;VAINILLA;1;1550
2022-07-09;CHOCOLATE;1;900
2022-07-12;MENTA;1;700
2022-07-13;MANGO;1;1650
2022-07-13;MANGO;1;900
2022-07-14;FRUTILLA;1;1300
2022-07-14;MENTA;1;550
2022-07-14;VAINILLA;1;1050
2022-07-15;MANGO;1;2000
2022-07-15;MENTA;1;6100
2022-07-18;MANGO;1;850
2022-07-22;VAINILLA;1;2150
2022-07-23;CHOCOLATE;1;1250
2022-07-25;VAINILLA;1;1150
2022-07-25;VAINILLA;1;3350
2022-07-26;MENTA;1;650
2022-07-26;VAINILLA;1;1450
2022-07-27;MENTA;1;350
2022-07-28;MENTA;1;850
2022-07-28;MANGO;1;950
2022-07-28;CHOCOLATE;1;1350
2022-07-28;FRUTILLA;1;400
2022-07-29;VAINILLA;1;1100
2022-08-02;FRUTILLA;1;750
2022-08-03;MENTA;1;600
2022-08-03;CHOCOLATE;1;550
2022-08-04;VAINILLA;1;1050
2022-08-04;FRUTILLA;1;300
2022-08-04;MENTA;1;650
2022-08-04;MENTA;1;1350
2022-08-05;MENTA;1;1150
2022-08-05;MANGO;1;950
2022-08-05;MANGO;1;850
2022-08-06;MANGO;1;900
2022-08-08;VAINILLA;1;1150
2022-08-08;MENTA;1;850
2022-08-08;FRUTILLA;1;300
2022-08-09;VAINILLA;1;1000
2022-08-09;VAINILLA;1;1450
2022-08-09;MENTA;1;2750
2022-08-09;VAINILLA;1;2250
2022-08-09;CHOCOLATE;1;3250
2022-08-09;FRUTILLA;1;1100
2022-08-09;VAINILLA;1;2250
2022-08-10;VAINILLA;1;1150
2022-08-11;CHOCOLATE;1;800
2022-08-11;FRUTILLA;1;450
2022-08-11;CHOCOLATE;1;1500
2022-08-12;CHOCOLATE;1;1050
